batch_id,corp_code,stock_code,corp_name,signal_name,required_account,found,matched_account_nm,matched_account_id,years_found,sj_divs,fs_divs,status,recommended_action
konex_001,00523176,086220,광동헬스바이오(주),부채 과다,부채총계,true,부채총계,ifrs-full_Liabilities,"2021, 2022, 2023, 2024, 2025",BS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),부채 과다,자본총계,true,"기말자본, 자본총계",ifrs-full_Equity,"2021, 2022, 2023, 2024, 2025","BS, SCE",OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),실적 급락,매출액,true,매출액,ifrs-full_Revenue,"2021, 2022, 2023, 2024, 2025",CIS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),실적 급락,영업이익,true,영업이익(손실),dart_OperatingIncomeLoss,"2021, 2022, 2023, 2024, 2025",CIS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),수익성 악화,영업이익,true,영업이익(손실),dart_OperatingIncomeLoss,"2021, 2022, 2023, 2024, 2025",CIS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),수익성 악화2,당기순이익,true,당기순이익(손실),"dart_ProfitLossForStatementOfCashFlows, ifrs-full_ProfitLoss","2021, 2022, 2023, 2024, 2025","CF, CIS, SCE",OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),영업현금흐름 적자 지속,영업활동현금흐름,true,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,"2021, 2022, 2023, 2024, 2025",CF,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),매출채권 회수 지연,매출액,true,매출액,ifrs-full_Revenue,"2021, 2022, 2023, 2024, 2025",CIS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),매출채권 회수 지연,매출채권,true,매출채권,ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,"2021, 2022",CF,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),재고 적체,매출액,true,매출액,ifrs-full_Revenue,"2021, 2022, 2023, 2024, 2025",CIS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),재고 적체,재고자산,true,"유동재고자산, 재고자산","ifrs-full_AdjustmentsForDecreaseIncreaseInInventories, ifrs-full_Inventories","2021, 2022, 2023, 2024, 2025","BS, CF",OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),단기 상환 압박,현금및현금성자산,true,현금및현금성자산,ifrs-full_CashAndCashEquivalents,"2021, 2022, 2023, 2024, 2025",BS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),단기 상환 압박,유동부채,true,유동부채,ifrs-full_CurrentLiabilities,"2021, 2022, 2023, 2024, 2025",BS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),이자 부담 능력,영업이익,true,영업이익(손실),dart_OperatingIncomeLoss,"2021, 2022, 2023, 2024, 2025",CIS,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
konex_001,00523176,086220,광동헬스바이오(주),이자 부담 능력,이자비용,true,"이자비용, 이자지급, 이자지급(영업)","-표준계정코드 미사용-, dart_AdjustmentsForInterestExpenses, ifrs-full_InterestPaidClassifiedAsOperatingActivities","2021, 2022, 2023, 2024, 2025",CF,OFS,found_in_single_all,전체 재무제표 API에서 직접 확인된 계정입니다.
