batch_id,corp_code,stock_code,corp_name,standard_account,category,found,years_found,sj_divs,matched_names,matched_account_ids,status,recommended_action
konex_001,00523176,086220,광동헬스바이오(주),매출액,basic,true,"2021, 2022, 2023, 2024, 2025",CIS,매출액,ifrs-full_Revenue,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),영업이익,basic,true,"2021, 2022, 2023, 2024, 2025",CIS,영업이익(손실),dart_OperatingIncomeLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),당기순이익,basic,true,"2021, 2022, 2023, 2024, 2025","CF, CIS, SCE",당기순이익(손실),"dart_ProfitLossForStatementOfCashFlows, ifrs-full_ProfitLoss",found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),자산총계,basic,true,"2021, 2022, 2023, 2024, 2025",BS,자산총계,ifrs-full_Assets,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),부채총계,basic,true,"2021, 2022, 2023, 2024, 2025",BS,부채총계,ifrs-full_Liabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),자본총계,basic,true,"2021, 2022, 2023, 2024, 2025","BS, SCE","기말자본, 자본총계",ifrs-full_Equity,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),유동부채,basic,true,"2021, 2022, 2023, 2024, 2025",BS,유동부채,ifrs-full_CurrentLiabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),현금및현금성자산,additional,true,"2021, 2022, 2023, 2024, 2025",BS,현금및현금성자산,ifrs-full_CashAndCashEquivalents,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),재고자산,additional,true,"2021, 2022, 2023, 2024, 2025","BS, CF","유동재고자산, 재고자산","ifrs-full_AdjustmentsForDecreaseIncreaseInInventories, ifrs-full_Inventories",found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),매출채권,additional,true,"2021, 2022",CF,매출채권,ifrs-full_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),유형자산,additional,true,"2021, 2022, 2023, 2024, 2025",BS,유형자산,ifrs-full_PropertyPlantAndEquipment,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),영업활동현금흐름,additional,true,"2021, 2022, 2023, 2024, 2025",CF,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),단기차입금,additional,false,,,,,not_found_in_single_all,DART 원문 계정명 또는 account_id 후보를 사람이 재검토해야 합니다.
konex_001,00523176,086220,광동헬스바이오(주),장기차입금,additional,false,,,,,not_found_in_single_all,DART 원문 계정명 또는 account_id 후보를 사람이 재검토해야 합니다.
konex_001,00523176,086220,광동헬스바이오(주),사채,additional,false,,,,,not_found_in_single_all,DART 원문 계정명 또는 account_id 후보를 사람이 재검토해야 합니다.
konex_001,00523176,086220,광동헬스바이오(주),이자비용,additional,true,"2021, 2022, 2023, 2024, 2025",CF,"이자비용, 이자지급, 이자지급(영업)","-표준계정코드 미사용-, dart_AdjustmentsForInterestExpenses, ifrs-full_InterestPaidClassifiedAsOperatingActivities",found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00523176,086220,광동헬스바이오(주),금융비용,additional,true,"2021, 2022, 2023, 2024, 2025",CIS,금융비용,ifrs-full_FinanceCosts,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,매출액,basic,true,"2024, 2025",CIS,매출액,ifrs-full_Revenue,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,영업이익,basic,true,"2024, 2025",CIS,"영업이익, 영업이익(손실)",dart_OperatingIncomeLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,당기순이익,basic,true,"2024, 2025","CIS, SCE","당기순이익, 당기순이익(손실)",ifrs-full_ProfitLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,자산총계,basic,true,"2024, 2025",BS,자산총계,ifrs-full_Assets,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,부채총계,basic,true,"2024, 2025",BS,부채총계,ifrs-full_Liabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,자본총계,basic,true,"2024, 2025","BS, SCE",자본총계,ifrs-full_Equity,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,유동부채,basic,true,"2024, 2025",BS,유동부채,ifrs-full_CurrentLiabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,현금및현금성자산,additional,true,"2024, 2025",BS,현금및현금성자산,ifrs-full_CashAndCashEquivalents,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,재고자산,additional,true,"2024, 2025",BS,재고자산,ifrs-full_InventoriesTotal,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,매출채권,additional,true,"2024, 2025",BS,매출채권,"dart_ShortTermTradeReceivable, ifrs-full_CurrentTradeReceivables",found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,유형자산,additional,true,"2024, 2025",BS,유형자산,ifrs-full_PropertyPlantAndEquipment,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,영업활동현금흐름,additional,true,"2024, 2025",CF,"영업에서 창출된 현금흐름, 영업활동으로 인한 현금흐름","ifrs-full_CashFlowsFromUsedInOperatingActivities, ifrs-full_CashFlowsFromUsedInOperations",found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,단기차입금,additional,true,"2024, 2025",BS,단기차입금,-표준계정코드 미사용-,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,장기차입금,additional,true,"2024, 2025",BS,장기차입금,ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,사채,additional,true,2025,BS,사채,dart_BondsIssuedNominalValue,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,이자비용,additional,true,"2024, 2025",CF,이자지급,ifrs-full_InterestPaidClassifiedAsOperatingActivities,found_in_account_id,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00677334,102950,(주)아하,금융비용,additional,true,"2024, 2025",CIS,금융비용,ifrs-full_FinanceCosts,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),매출액,basic,true,"2024, 2025",CIS,수익(매출액),ifrs-full_Revenue,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),영업이익,basic,true,"2024, 2025",CIS,영업이익(손실),dart_OperatingIncomeLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),당기순이익,basic,true,"2024, 2025","CIS, SCE",당기순이익(손실),ifrs-full_ProfitLoss,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),자산총계,basic,true,"2024, 2025",BS,자산총계,ifrs-full_Assets,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),부채총계,basic,true,"2024, 2025",BS,부채총계,ifrs-full_Liabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),자본총계,basic,true,"2024, 2025","BS, SCE",자본총계,ifrs-full_Equity,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
konex_001,00537221,216400,인바이츠바이오코아(주),유동부채,basic,true,"2024, 2025",BS,유동부채,ifrs-full_CurrentLiabilities,found_in_single_all,기존 standard_account 매핑 후보로 사용할 수 있습니다.
